순위,선수명,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
1,선동열,해태,1.20,367,68,29,146,40,132,0,0.785,6114,1647,968,28,342,62,1698,274,220
2,최동원,삼성,2.46,248,81,15,103,74,26,0,0.582,5730,1414 2/3,1248,70,372,47,1019,478,387
3,정명원,현대,2.57,395,11,6,75,54,142,0,0.581,4441,1093 2/3,933,51,330,35,634,390,312
4,구대성,한화,2.85,569,9,0,67,71,214,18,0.486,4601,1128 2/3,855,87,415,57,1221,412,357
5,* 류현진,한화,2.86,205,27,8,103,56,1,0,0.648,5517,1354,1175,96,403,24,1310,474,430
6,최일언,삼성,2.87,240,31,9,78,57,11,0,0.578,4673,1115 1/3,942,34,541,39,556,422,356
7,박철순,OB,2.95,231,29,7,76,53,20,0,0.589,4338,1050 1/3,908,43,391,30,648,401,344
8,김용수,LG,2.98,613,17,2,126,89,227,1,0.586,7527,1831 1/3,1675,86,498,61,1145,694,606
9,리오스,두산,3.01,215,21,7,90,59,13,1,0.604,5162,1242,1133,85,340,125,807,470,415
10,권영호,삼성,3.06,288,18,5,56,49,100,0,0.533,4210,1020 2/3,884,77,387,24,422,388,347
11,김시진,롯데,3.12,273,67,16,124,73,16,0,0.629,6601,1577,1302,82,755,83,931,620,547
12,조계현,두산,3.17,320,64,19,126,92,17,0,0.578,7502,1823 1/3,1572,113,605,79,1100,736,642
13,진필중,LG,3.20,510,9,4,75,70,191,2,0.517,4705,1119 1/3,1105,73,341,42,751,459,398
14,유종겸,LG,3.20,269,25,3,57,57,15,0,0.500,4363,1039 1/3,933,67,419,37,497,439,370
15,조웅천,SK,3.21,813,1,0,64,54,98,89,0.542,4534,1092 2/3,1012,100,296,65,920,439,390
16,이상군,한화,3.24,320,62,10,100,77,30,1,0.565,5975,1437,1396,104,381,62,622,601,518
17,한희민,삼성,3.25,214,47,13,80,51,24,0,0.611,4600,1124 2/3,978,104,330,43,596,456,406
18,* 김광현,SSG,3.25,371,8,3,164,92,0,2,0.641,8787,2094,1955,177,794,48,1804,855,757
19,장호연,OB,3.26,346,79,16,109,110,17,0,0.498,7532,1805,1680,100,627,86,625,788,653
20,위재영,SK,3.27,350,5,1,68,64,71,15,0.515,4731,1122 2/3,1035,100,435,27,856,464,408
21,김정수,SK,3.28,600,17,5,92,77,34,33,0.544,5907,1394,1128,101,641,123,1131,593,508
22,이강철,KIA,3.29,602,65,18,152,112,53,33,0.576,9136,2204 2/3,1771,218,797,189,1751,889,805
23,윤석민,KIA,3.29,398,12,6,77,75,86,18,0.507,5298,1270,1168,89,387,62,1072,517,464
24,성준,롯데,3.32,301,32,10,97,66,8,0,0.595,5941,1405 2/3,1317,115,566,44,575,581,519
25,윤학길,롯데,3.33,308,100,20,117,94,10,0,0.555,7698,1863 2/3,1851,103,487,41,916,780,689
26,김상엽,LG,3.39,258,24,6,78,56,49,0,0.582,4543,1073 2/3,886,77,529,62,752,458,405
27,김태원,LG,3.43,273,36,10,85,77,5,0,0.525,5828,1399 2/3,1231,83,474,60,819,588,533
28,계형철,OB,3.43,254,40,8,69,89,9,0,0.437,5454,1286 2/3,1167,73,575,46,548,586,491
29,박정현,SK,3.45,253,48,7,65,54,21,0,0.546,4629,1090 2/3,1026,67,429,65,460,472,418
30,임창용,KIA,3.45,760,2,2,130,86,258,19,0.602,7214,1725 2/3,1543,148,498,152,1474,730,662
